Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
04/02/2020 16:30,04/02/2020 23:59,GBPUSD,Sell,1.50,1.24420,1.23320,1.23720,1.23926,-20.6,-296.41,00:07:29:00,-0.28
04/02/2020 12:00,04/02/2020 13:22,GBPUSD,Buy,1.50,1.23533,1.24633,1.24233,1.24633,40.0,544.67,00:01:22:00,0.52
03/25/2020 18:00,03/25/2020 18:22,GBPUSD,Buy,1.50,1.16878,1.17978,1.17578,1.17978,40.0,544.67,00:00:22:00,0.53
03/25/2020 16:00,03/25/2020 16:18,GBPUSD,Sell,1.50,1.18371,1.17271,1.17671,1.17271,40.0,544.67,00:00:18:00,0.53
03/25/2020 11:00,03/25/2020 11:54,GBPUSD,Buy,1.50,1.18523,1.19623,1.19223,1.19623,40.0,544.67,00:00:54:00,0.53
03/23/2020 17:30,03/23/2020 17:58,GBPUSD,Sell,1.50,1.15955,1.14855,1.15255,1.14855,40.0,544.66,00:00:28:00,0.53
03/23/2020 14:30,03/23/2020 14:58,GBPUSD,Buy,1.50,1.15269,1.16369,1.15969,1.16369,40.0,544.67,00:00:28:00,0.54
03/20/2020 16:30,03/20/2020 16:31,GBPUSD,Buy,1.50,1.18177,1.19277,1.18877,1.19277,40.0,544.67,00:00:01:00,0.54
03/19/2020 18:00,03/19/2020 19:00,GBPUSD,Sell,1.50,1.17307,1.16207,1.16607,1.16207,40.0,544.67,00:01:00:00,0.54
03/18/2020 16:00,03/18/2020 17:46,GBPUSD,Sell,1.50,1.18604,1.17504,1.17904,1.17504,40.0,544.66,00:01:46:00,0.55
03/18/2020 14:30,03/18/2020 15:40,GBPUSD,Sell,1.50,1.19105,1.18005,1.18405,1.18005,40.0,544.67,00:01:10:00,0.55
03/18/2020 13:30,03/18/2020 13:45,GBPUSD,Sell,1.50,1.19814,1.18714,1.19114,1.18714,40.0,544.66,00:00:15:00,0.55
03/18/2020 10:00,03/18/2020 11:28,GBPUSD,Sell,1.50,1.20976,1.19876,1.20276,1.19876,40.0,544.67,00:01:28:00,0.55
03/17/2020 18:00,03/17/2020 19:19,GBPUSD,Sell,1.50,1.20856,1.19756,1.20156,1.20856,-70.0,-982.04,00:01:19:00,-0.99
03/17/2020 13:00,03/17/2020 15:44,GBPUSD,Sell,1.50,1.21698,1.20598,1.20998,1.20598,40.0,544.66,00:02:44:00,0.55
03/13/2020 18:00,03/13/2020 18:38,GBPUSD,Sell,1.50,1.24762,1.23662,1.24062,1.23662,40.0,544.66,00:00:38:00,0.56
03/13/2020 16:00,03/13/2020 17:57,GBPUSD,Buy,1.50,1.24379,1.25479,1.25079,1.24379,-70.0,-982.05,00:01:57:00,-0.99
03/12/2020 17:30,03/12/2020 17:59,GBPUSD,Sell,1.50,1.26503,1.25403,1.25803,1.25403,40.0,544.67,00:00:29:00,0.55
03/12/2020 14:30,03/12/2020 15:45,GBPUSD,Sell,1.50,1.27519,1.26419,1.26819,1.26419,40.0,544.67,00:01:15:00,0.56
03/11/2020 10:30,03/11/2020 18:12,GBPUSD,Buy,1.50,1.28751,1.29851,1.29451,1.28751,-70.0,-982.05,00:07:42:00,-0.99
03/10/2020 18:00,03/10/2020 21:14,GBPUSD,Sell,1.50,1.30023,1.28923,1.29323,1.28923,40.0,544.66,00:03:14:00,0.55
03/06/2020 12:30,03/06/2020 23:25,GBPUSD,Buy,1.50,1.29402,1.30502,1.30102,1.30502,40.0,544.67,00:10:55:00,0.56
03/05/2020 10:30,03/05/2020 18:53,GBPUSD,Buy,1.50,1.28325,1.29425,1.29025,1.29425,40.0,544.67,00:08:23:00,0.56
03/03/2020 17:30,03/04/2020 20:22,GBPUSD,Buy,1.50,1.27482,1.28582,1.28182,1.28582,40.0,534.93,01:02:52:00,0.55
02/28/2020 18:00,02/28/2020 20:35,GBPUSD,Sell,1.50,1.28430,1.27330,1.27730,1.27330,40.0,544.67,00:02:35:00,0.57
02/27/2020 12:30,02/28/2020 16:16,GBPUSD,Sell,1.50,1.29499,1.28399,1.28799,1.28399,40.0,545.90,01:03:46:00,0.57
02/25/2020 11:00,02/25/2020 17:59,GBPUSD,Buy,1.50,1.29070,1.30170,1.29770,1.30170,40.0,544.67,00:06:59:00,0.57
02/24/2020 12:00,02/25/2020 10:52,GBPUSD,Sell,1.50,1.29660,1.28560,1.28960,1.29660,-70.0,-980.80,00:22:52:00,-1.02
02/21/2020 17:30,02/24/2020 11:47,GBPUSD,Buy,1.50,1.28961,1.30061,1.29661,1.28961,-70.0,-991.79,02:18:17:00,-1.02
02/20/2020 12:30,02/21/2020 16:49,GBPUSD,Sell,1.50,1.29530,1.28430,1.28830,1.29530,-70.0,-980.80,01:04:19:00,-1.00
